,0
0,"Overall NHL Stats,Time on Ice,Goals,Assists,Points,per 60 All Situations,per 60 Even-Strength,per 60 Power-Play,per Game,Shots,Defensive,Faceoffs"
1,"Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%"
2,"1,Nikita Kucherov,TBL,30,F,20,15,20,35,6,2,21:29,17:35,3:53,0:00,9,6,0,1,0,8,12,0,3,0,17,18,0,4,0,51.4%,2.095,2.793,4.888,1.536,1.365,2.900,4.625,9.251,13.876,0.750,1.000,1.750,92,16.3%,13,8,0,2,0.00%"
3,"2,J.T. Miller,VAN,30,F,22,13,20,33,16,10,20:03,14:10,4:08,1:44,6,6,1,2,0,11,9,0,4,1,17,15,1,6,1,45.5%,1.767,2.718,4.485,1.155,2.117,3.272,3.946,5.919,9.865,0.591,0.909,1.500,50,26.0%,44,17,248,204,54.87%"
4,"3,Quinn Hughes,VAN,24,D,22,8,25,33,12,18,24:45,19:19,4:21,1:04,7,1,0,2,1,11,14,0,3,0,18,15,0,5,1,45.5%,0.881,2.754,3.635,0.988,1.552,2.540,0.626,8.764,9.390,0.364,1.136,1.500,68,11.8%,8,18,0,0,0.00%"
5,"4,David Pastrnak,BOS,27,F,21,13,18,31,10,5,19:18,15:27,3:45,0:04,9,4,0,2,0,8,10,0,5,0,17,14,0,7,0,45.2%,1.924,2.664,4.588,1.663,1.478,3.141,3.040,7.600,10.640,0.619,0.857,1.476,98,13.3%,22,4,0,1,0.00%"
6,"5,Artemi Panarin,NYR,32,F,20,11,19,30,4,1,19:27,16:09,3:18,0:00,9,2,0,1,0,8,11,0,5,1,17,13,0,6,1,43.3%,1.696,2.929,4.624,1.671,1.486,3.157,1.815,9.982,11.797,0.550,0.950,1.500,79,13.9%,1,3,0,3,0.00%"
7,"6,Cale Makar,COL,25,D,20,5,25,30,8,18,24:08,16:36,4:19,3:12,4,1,0,0,0,13,9,3,2,0,17,10,3,2,0,33.3%,0.621,3.107,3.728,0.723,2.348,3.071,0.693,6.236,6.928,0.250,1.250,1.500,48,10.4%,11,36,0,0,0.00%"
8,"7,Brayden Point,TBL,27,F,21,11,18,29,2,-3,20:16,16:33,3:41,0:01,5,6,0,4,0,11,7,0,3,0,16,13,0,7,0,44.8%,1.550,2.536,4.086,0.863,1.898,2.760,4.642,5.416,10.058,0.524,0.857,1.381,62,17.7%,5,10,98,119,45.16%"
9,"8,Elias Pettersson,VAN,25,F,22,8,21,29,0,2,19:47,13:34,4:21,1:51,4,4,0,1,0,11,9,1,0,0,15,13,1,1,0,44.8%,1.103,2.894,3.997,0.803,2.209,3.013,2.504,5.634,8.138,0.364,0.955,1.318,51,15.7%,28,16,131,125,51.17%"
10,"9,Leon Draisaitl,EDM,28,F,20,9,19,28,24,-3,21:30,16:45,3:41,1:03,3,6,0,0,0,12,6,1,4,0,15,12,1,4,0,42.9%,1.255,2.650,3.905,0.537,2.148,2.685,4.870,4.870,9.741,0.450,0.950,1.400,62,14.5%,10,4,229,176,56.54%"
11,"10,William Nylander,TOR,27,F,19,12,15,27,4,3,20:11,16:05,3:23,0:43,6,5,1,1,1,10,5,0,3,2,16,10,1,4,3,37.0%,1.876,2.345,4.221,1.178,1.963,3.141,4.658,4.658,9.317,0.632,0.789,1.421,84,14.3%,10,7,1,7,12.50%"
12,"11,Mikko Rantanen,COL,27,F,20,12,14,26,16,8,21:41,16:42,4:57,0:01,9,3,0,4,0,8,6,0,0,0,17,9,0,4,0,34.6%,1.659,1.936,3.595,1.616,1.436,3.052,1.813,3.626,5.439,0.600,0.700,1.300,64,18.8%,11,11,49,41,54.44%"
13,"12,Nathan MacKinnon,COL,28,F,20,7,19,26,22,6,21:55,17:08,4:43,0:03,7,0,0,1,0,10,9,0,2,0,17,9,0,3,0,34.6%,0.958,2.600,3.557,1.225,1.750,2.976,0.000,5.710,5.710,0.350,0.950,1.300,96,7.3%,12,20,131,159,45.17%"
14,"13,Sam Reinhart,FLA,28,F,20,13,12,25,9,10,20:46,14:56,3:49,2:00,7,5,1,3,1,10,2,0,3,0,17,7,1,6,1,28.0%,1.878,1.734,3.612,1.406,2.009,3.415,3.929,1.572,5.501,0.650,0.600,1.250,52,25.0%,8,24,61,79,43.57%"
15,"14,Filip Forsberg,NSH,29,F,20,11,14,25,14,1,19:11,14:57,4:12,0:01,10,1,0,0,0,6,8,0,2,0,16,9,0,2,0,36.0%,1.720,2.189,3.908,2.006,1.204,3.209,0.712,5.695,6.407,0.550,0.700,1.250,83,13.3%,31,7,3,2,60.00%"
16,"15,Jesper Bratt,NJD,25,F,19,8,17,25,2,-3,19:41,15:32,3:12,0:56,4,4,0,3,0,5,12,0,2,0,9,16,0,5,0,64.0%,1.283,2.726,4.009,0.813,1.016,1.828,3.947,11.842,15.789,0.421,0.895,1.316,44,18.2%,18,8,2,5,28.57%"
